 # time              Etot              Ltot
   0.10000000E+000  -0.18536957E+007   0.29827729E+009
   0.10000000E+000  -0.18312354E+007   0.29827729E+009
   0.20000000E+000  -0.18108559E+007   0.29827729E+009
   0.30000000E+000  -0.17922783E+007   0.29827729E+009
   0.40000001E+000  -0.17752712E+007   0.29827729E+009
   0.50000001E+000  -0.17596415E+007   0.29827728E+009
   0.60000001E+000  -0.17452265E+007   0.29827728E+009
   0.70000001E+000  -0.17318881E+007   0.29827728E+009
   0.80000001E+000  -0.17195085E+007   0.29827728E+009
   0.90000001E+000  -0.17079865E+007   0.29827727E+009
   0.10000000E+001  -0.16972347E+007   0.29827727E+009
   0.11000000E+001  -0.16871771E+007   0.29827727E+009
   0.12000000E+001  -0.16777475E+007   0.29827727E+009
   0.13000000E+001  -0.16688879E+007   0.29827727E+009
   0.14000000E+001  -0.16605471E+007   0.29827726E+009
   0.15000000E+001  -0.16526801E+007   0.29827726E+009
   0.16000000E+001  -0.16452467E+007   0.29827726E+009
   0.17000000E+001  -0.16382113E+007   0.29827726E+009
   0.18000000E+001  -0.16315421E+007   0.29827725E+009
   0.19000000E+001  -0.16252106E+007   0.29827725E+009
   0.20000000E+001  -0.16191911E+007   0.29827725E+009
   0.21000000E+001  -0.16134605E+007   0.29827725E+009
   0.22000000E+001  -0.16079981E+007   0.29827725E+009
   0.23000000E+001  -0.16027848E+007   0.29827724E+009
   0.24000000E+001  -0.15978036E+007   0.29827724E+009
   0.25000000E+001  -0.15930388E+007   0.29827724E+009
   0.26000000E+001  -0.15884762E+007   0.29827724E+009
   0.27000000E+001  -0.15841028E+007   0.29827723E+009
   0.28000000E+001  -0.15799067E+007   0.29827723E+009
   0.29000000E+001  -0.15758769E+007   0.29827723E+009
   0.30000000E+001  -0.15720034E+007   0.29827723E+009
   0.31000000E+001  -0.15682770E+007   0.29827723E+009
   0.32000000E+001  -0.15646891E+007   0.29827722E+009
   0.33000000E+001  -0.15612319E+007   0.29827722E+009
   0.34000001E+001  -0.15578980E+007   0.29827722E+009
   0.35000001E+001  -0.15546807E+007   0.29827722E+009
   0.36000001E+001  -0.15515737E+007   0.29827721E+009
   0.37000001E+001  -0.15485713E+007   0.29827721E+009
   0.38000001E+001  -0.15456679E+007   0.29827721E+009
   0.39000001E+001  -0.15428586E+007   0.29827721E+009
   0.40000001E+001  -0.15401386E+007   0.29827721E+009
   0.41000001E+001  -0.15375036E+007   0.29827720E+009
   0.42000001E+001  -0.15349494E+007   0.29827720E+009
   0.43000001E+001  -0.15324721E+007   0.29827720E+009
   0.44000001E+001  -0.15300683E+007   0.29827720E+009
   0.45000001E+001  -0.15277344E+007   0.29827719E+009
   0.46000001E+001  -0.15254673E+007   0.29827719E+009
   0.47000001E+001  -0.15232641E+007   0.29827719E+009
   0.48000001E+001  -0.15211219E+007   0.29827719E+009
   0.49000001E+001  -0.15190381E+007   0.29827719E+009
   0.50000001E+001  -0.15170101E+007   0.29827718E+009
   0.51000001E+001  -0.15150357E+007   0.29827718E+009
   0.52000001E+001  -0.15131126E+007   0.29827718E+009
   0.53000001E+001  -0.15112387E+007   0.29827718E+009
   0.54000001E+001  -0.15094121E+007   0.29827718E+009
   0.55000001E+001  -0.15076309E+007   0.29827717E+009
   0.56000001E+001  -0.15058932E+007   0.29827717E+009
   0.57000001E+001  -0.15041974E+007   0.29827717E+009
   0.58000001E+001  -0.15025420E+007   0.29827717E+009
   0.59000001E+001  -0.15009253E+007   0.29827716E+009
   0.60000001E+001  -0.14993460E+007   0.29827716E+009
   0.61000001E+001  -0.14978027E+007   0.29827716E+009
   0.62000001E+001  -0.14962941E+007   0.29827716E+009
   0.63000001E+001  -0.14948189E+007   0.29827716E+009
   0.64000001E+001  -0.14933761E+007   0.29827715E+009
   0.65000001E+001  -0.14919643E+007   0.29827715E+009
   0.66000001E+001  -0.14905827E+007   0.29827715E+009
   0.67000001E+001  -0.14892301E+007   0.29827715E+009
   0.68000001E+001  -0.14879057E+007   0.29827714E+009
   0.69000001E+001  -0.14866084E+007   0.29827714E+009
   0.70000001E+001  -0.14853374E+007   0.29827714E+009
   0.71000001E+001  -0.14840918E+007   0.29827714E+009
   0.72000001E+001  -0.14828708E+007   0.29827714E+009
   0.73000001E+001  -0.14816737E+007   0.29827713E+009
   0.74000001E+001  -0.14804997E+007   0.29827713E+009
   0.75000001E+001  -0.14793481E+007   0.29827713E+009
   0.76000001E+001  -0.14782182E+007   0.29827713E+009
   0.77000001E+001  -0.14771094E+007   0.29827712E+009
   0.78000001E+001  -0.14760210E+007   0.29827712E+009
   0.79000001E+001  -0.14749525E+007   0.29827712E+009
   0.80000001E+001  -0.14739032E+007   0.29827712E+009
   0.81000001E+001  -0.14728727E+007   0.29827712E+009
   0.82000001E+001  -0.14718603E+007   0.29827711E+009
   0.83000001E+001  -0.14708656E+007   0.29827711E+009
   0.84000001E+001  -0.14698881E+007   0.29827711E+009
   0.85000001E+001  -0.14689273E+007   0.29827711E+009
   0.86000001E+001  -0.14679828E+007   0.29827710E+009
   0.87000001E+001  -0.14670541E+007   0.29827710E+009
   0.88000001E+001  -0.14661408E+007   0.29827710E+009
   0.89000001E+001  -0.14652426E+007   0.29827710E+009
   0.90000001E+001  -0.14643589E+007   0.29827710E+009
   0.91000001E+001  -0.14634895E+007   0.29827709E+009
   0.92000001E+001  -0.14626340E+007   0.29827709E+009
   0.93000001E+001  -0.14617920E+007   0.29827709E+009
   0.94000001E+001  -0.14609632E+007   0.29827709E+009
   0.95000001E+001  -0.14601473E+007   0.29827709E+009
   0.96000001E+001  -0.14593440E+007   0.29827708E+009
   0.97000001E+001  -0.14585529E+007   0.29827708E+009
   0.98000001E+001  -0.14577738E+007   0.29827708E+009
   0.99000001E+001  -0.14570065E+007   0.29827708E+009
   0.10000000E+002  -0.14562505E+007   0.29827707E+009
   0.10100000E+002  -0.14555057E+007   0.29827707E+009
   0.10200000E+002  -0.14547718E+007   0.29827707E+009
   0.10300000E+002  -0.14540486E+007   0.29827707E+009
   0.10400000E+002  -0.14533359E+007   0.29827707E+009
   0.10500000E+002  -0.14526333E+007   0.29827706E+009
   0.10600000E+002  -0.14519407E+007   0.29827706E+009
   0.10700000E+002  -0.14512580E+007   0.29827706E+009
   0.10800000E+002  -0.14505847E+007   0.29827706E+009
   0.10900000E+002  -0.14499209E+007   0.29827705E+009
   0.11000000E+002  -0.14492662E+007   0.29827705E+009
   0.11100000E+002  -0.14486205E+007   0.29827705E+009
   0.11200000E+002  -0.14479836E+007   0.29827705E+009
   0.11300000E+002  -0.14473554E+007   0.29827705E+009
   0.11400000E+002  -0.14467356E+007   0.29827704E+009
   0.11500000E+002  -0.14461241E+007   0.29827704E+009
   0.11600000E+002  -0.14455208E+007   0.29827704E+009
   0.11700000E+002  -0.14449254E+007   0.29827704E+009
   0.11800000E+002  -0.14443379E+007   0.29827703E+009
   0.11900000E+002  -0.14437581E+007   0.29827703E+009
   0.12000000E+002  -0.14431858E+007   0.29827703E+009
   0.12100000E+002  -0.14426210E+007   0.29827703E+009
   0.12200000E+002  -0.14420634E+007   0.29827703E+009
   0.12300000E+002  -0.14415130E+007   0.29827702E+009
   0.12400000E+002  -0.14409696E+007   0.29827702E+009
   0.12500000E+002  -0.14404331E+007   0.29827702E+009
   0.12600000E+002  -0.14399035E+007   0.29827702E+009
   0.12700000E+002  -0.14393805E+007   0.29827702E+009
   0.12800000E+002  -0.14388641E+007   0.29827701E+009
   0.12900000E+002  -0.14383541E+007   0.29827701E+009
   0.13000000E+002  -0.14378506E+007   0.29827701E+009
   0.13100000E+002  -0.14373532E+007   0.29827701E+009
   0.13200000E+002  -0.14368621E+007   0.29827700E+009
   0.13300000E+002  -0.14363770E+007   0.29827700E+009
   0.13400000E+002  -0.14358980E+007   0.29827700E+009
   0.13500000E+002  -0.14354248E+007   0.29827700E+009
   0.13600000E+002  -0.14349574E+007   0.29827700E+009
   0.13700000E+002  -0.14344958E+007   0.29827699E+009
   0.13800000E+002  -0.14340398E+007   0.29827699E+009
   0.13900000E+002  -0.14335894E+007   0.29827699E+009
   0.14000000E+002  -0.14331446E+007   0.29827699E+009
   0.14100000E+002  -0.14327053E+007   0.29827698E+009
   0.14200000E+002  -0.14322724E+007   0.29827698E+009
   0.14300000E+002  -0.14318453E+007   0.29827698E+009
   0.14400000E+002  -0.14314186E+007   0.29827698E+009
   0.14500000E+002  -0.14309996E+007   0.29827698E+009
   0.14600000E+002  -0.14305859E+007   0.29827697E+009
   0.14700000E+002  -0.14301773E+007   0.29827697E+009
   0.14800000E+002  -0.14297737E+007   0.29827697E+009
   0.14900000E+002  -0.14293750E+007   0.29827697E+009
   0.15000000E+002  -0.14289812E+007   0.29827697E+009
   0.15100000E+002  -0.14285922E+007   0.29827696E+009
   0.15200000E+002  -0.14282079E+007   0.29827696E+009
   0.15300000E+002  -0.14278283E+007   0.29827696E+009
   0.15400000E+002  -0.14274534E+007   0.29827696E+009
   0.15500000E+002  -0.14270830E+007   0.29827695E+009
   0.15600000E+002  -0.14267172E+007   0.29827695E+009
   0.15700000E+002  -0.14263559E+007   0.29827695E+009
   0.15800000E+002  -0.14259991E+007   0.29827695E+009
   0.15900000E+002  -0.14256467E+007   0.29827695E+009
   0.16000000E+002  -0.14252987E+007   0.29827694E+009
   0.16100000E+002  -0.14249551E+007   0.29827694E+009
   0.16200000E+002  -0.14246157E+007   0.29827694E+009
   0.16300000E+002  -0.14242806E+007   0.29827694E+009
